GEOID,male_5to9,male_10to14,male_15to17,total_pop,race_white_only,race_Black_only,race_Asian_only,race_pacific_islander_only,at_least_two_races,SSI_pubassist_foodstamps,med_household_inc_12mo,house_units_w_mortgage,med_gross_rent,comp_internet_subscrip_in_house,District,District Nbr
"2738280",39,60,42,1759,1707,0,8,0,9,351,68281,599,575,701,Swanville Public School District,"0486"
"2738850",522,391,286,13675,12855,146,157,0,259,3131,60895,4250,695,5847,Thief River Falls School District,"0564"
"2738880",273,160,156,5152,5079,9,0,0,20,1270,82961,1852,977,1979,Esko Public School District,"0099"
"2740665",305,307,123,7109,6506,20,54,1,73,1869,64235,2137,728,2681,Triton School District,"2125"
"2740680",35,47,39,2260,2186,1,4,0,14,413,56027,779,606,1001,Truman Public School District,"0458"
"2740740",368,308,224,13001,12585,95,30,19,164,2346,63732,5195,667,6209,Lake Superior Public School District,"0381"
"2740810",49,47,56,1750,1681,0,3,0,55,416,63387,590,742,702,Ulen-Hitterdal Public School District,"0914"
"2740830",96,90,55,2447,2272,49,3,0,79,548,70239,901,741,1005,Underwood Public School District,"0550"
"2740860",53,94,69,2091,2049,0,0,0,4,539,64542,658,695,789,Upsala Public School District,"0487"
"2740920",69,45,43,1671,1601,2,8,0,13,402,49688,589,565,719,Verndale Public School District,"0818"
"2741040",253,315,223,10812,10161,66,14,0,268,1746,45000,3318,624,5364,Virginia Public School District,"0706"
"2741060",102,186,112,5077,4959,7,17,0,54,931,60321,1824,715,2235,Wabasha-Kellogg Public School District,"0811"
"2741430",65,91,71,2435,2322,16,19,0,49,596,56607,828,579,981,Wabasso Public School District,"0640"
"2741460",928,971,523,21216,20397,128,292,0,331,6100,102405,6295,955,7420,Waconia Public School District,"0110"
"2741850",251,205,174,5829,5131,0,342,0,117,1485,60833,1824,742,2238,Warroad Public School District,"0690"
"2741880",363,363,246,12001,10886,355,83,4,268,2681,53412,3534,670,4807,Waseca Public School District,"0829"
"2741910",460,312,163,9820,9581,23,36,4,147,2654,89612,3016,826,3578,Watertown-Mayer Public School District,"0111"
"2742120",197,119,131,3344,1495,9,27,9,429,1036,50096,941,416,1202,Waubun-Ogema-White Earth Public Schools,"0435"
"2742160",2754,2924,1551,71654,57127,3320,8766,1,1768,18737,119222,19540,1423,27292,Wayzata Public School District,"0284"
"2742270",1217,1110,616,43486,34211,2853,2388,0,1692,8695,71592,11716,1116,18591,West St. Paul-Mendota Heights-Eagan,"0197"
"2742330",51,64,32,2106,2028,17,0,0,24,375,48197,909,569,1087,Wheaton Area Public School District,"0803"
"2742360",2211,1713,1412,66766,60390,2024,2258,0,1471,14927,85080,20850,1203,26886,White Bear Lake School District,"0624"
"2742720",1169,789,594,25930,21321,2253,367,0,558,6657,53516,6566,787,9971,Willmar Public School District,"0347"
"2742750",148,142,50,3510,3286,74,6,0,85,741,51905,1169,824,1316,Willow River Public School District,"0577"
"2742780",228,203,125,6065,5488,67,141,18,43,1405,51373,2056,664,2622,Windom Public School District,"0177"
"2744070",885,822,543,39485,37142,587,909,0,561,5984,54680,10586,702,15525,Winona Area Public School District,"0861"
"2744160",641,674,335,16173,11542,900,1457,2,499,4660,53845,3768,738,5773,Worthington Public School District,"0518"
"2744190",53,65,23,1998,1823,3,2,0,67,428,69632,710,919,801,Wrenshall Public School District,"0100"
"2745735",276,283,93,7069,6891,16,101,0,35,1670,76250,2370,734,2878,Zumbrota-Mazeppa School District,"2805"
"2791445",215,207,138,6373,6293,20,10,1,27,1501,69521,2131,793,2594,Lake Crystal-Wellcome Memorial,"2071"
"2791446",56,34,58,1973,1861,51,15,0,21,369,49655,683,565,862,Tri-County School District,"2358"
"2791447",72,70,28,1949,1902,13,14,0,19,443,63431,720,722,847,Kittson Central School District,"2171"
"2791448",39,51,45,1394,1301,24,0,0,30,275,49048,528,684,636,Norman County West School District,"2527"
"2791449",91,99,57,3247,3119,3,23,0,44,747,53287,1064,626,1335,Win-E-Mac School District,"2609"
"2791450",227,199,154,7212,6973,4,63,0,116,1333,56392,2832,596,3255,Mesabi East School District,"2711"
"2791451",223,178,114,5135,4944,90,30,0,47,1343,71581,1692,739,1939,Janesville-Waldorf-Pemberton,"2835"
"2799999",293,263,148,7703,6281,129,67,1,210,1874,53750,2399,546,3261,Remainder of Minnesota,
