GEOID,male_5to9,male_10to14,male_15to17,total_pop,race_white_only,race_Black_only,race_Asian_only,race_pacific_islander_only,at_least_two_races,SSI_pubassist_foodstamps,med_household_inc_12mo,house_units_w_mortgage,med_gross_rent,comp_internet_subscrip_in_house,District,District Nbr
"2713020",37,33,24,882,836,16,8,0,11,237,60682,286,684,314,Goodridge Public School District,"0561"
"2713040",64,48,16,1694,1677,3,0,0,13,402,70217,607,688,698,Granada-Huntley-East Chain,"2536"
"2713110",109,129,63,5376,4634,4,50,0,136,823,57432,2069,651,2691,Cook County Public Schools,"0166"
"2713140",84,61,54,1957,1889,20,9,0,37,533,68409,589,689,744,Grand Meadow Public School District,"0495"
"2713170",1003,647,510,27163,25778,113,150,3,611,5314,55497,9614,688,12004,Grand Rapids Public School District,"0318"
"2713380",63,43,53,1447,1332,7,55,0,21,434,65156,330,750,431,Hancock Public School District,"0768"
"2713530",999,990,648,32520,30806,409,204,33,616,7047,78171,9559,953,12599,Hastings Public School District,"0200"
"2713560",173,132,81,4525,4336,17,7,0,25,1399,79797,1397,842,1719,Hawley Public School District,"0150"
"2713590",158,156,98,4853,4725,39,26,0,39,1051,66926,1577,588,1919,Hayfield Public School District,"0203"
"2713680",38,25,17,1047,966,16,0,0,30,175,44185,364,624,515,Hendricks Public School District,"0402"
"2713860",59,82,71,2916,2844,15,6,0,36,539,55714,1068,651,1286,Henning Public School District,"0545"
"2713890",24,18,16,893,881,8,0,0,0,145,48403,323,475,415,Herman-Norcross School District,"0264"
"2713920",373,551,241,11728,10931,365,52,11,193,2549,75650,3575,1103,4539,Hermantown Public School District,"0700"
"2713930",46,55,56,1575,1504,0,13,0,33,383,63281,544,575,669,Heron Lake-Okabena School District,"0330"
"2713980",483,707,295,17203,15788,420,305,0,380,4258,49768,5358,528,7283,Hibbing Public School District,"0701"
"2714010",42,43,38,1615,1471,7,1,0,109,338,46336,599,618,779,Hill City Public School District,"0002"
"2714040",65,108,44,2192,2071,58,8,0,51,568,65774,685,772,883,Hills-Beaver Creek School District,"0671"
"2714070",162,237,148,6822,6098,36,30,0,284,1416,47719,2117,709,2746,Hinckley-Finlayson School District,"2165"
"2714190",173,174,74,4973,4943,0,3,0,16,1140,72074,1767,652,1962,Holdingford Public School District,"0738"
"2714220",2262,2431,1348,60953,45530,5133,7333,0,1993,15221,110846,17109,1402,23536,Eden Prairie Public School District,"0272"
"2714260",1684,1457,965,65494,52533,6360,4168,10,1824,11665,75778,17534,1223,30923,Hopkins Public School District,"0270"
"2714280",85,104,34,2655,2600,1,0,0,30,575,59696,935,671,1185,Houston Public School District,"0294"
"2714970",624,491,291,17811,17120,84,188,0,202,3658,61972,5645,833,7733,Hutchinson Public School District,"0423"
"2715000",293,219,205,9258,8684,70,33,0,140,1679,51413,3117,678,4116,International Falls School District,"0361"
"2715030",888,1264,482,29486,24208,1498,1086,0,867,6102,73577,7752,1146,12230,Inver Grove Heights Schools,"0199"
"2715510",61,80,51,3130,2870,3,2,0,78,523,46833,1238,625,1500,Isle Public School District,"0473"
"2715750",432,310,275,9981,9174,188,114,0,135,2964,86267,2713,1112,3443,Jordan Public School District,"0717"
"2716830",34,21,13,804,772,6,3,0,7,235,65000,248,730,290,Prinsburg Public School District,"0815"
"2716980",430,301,296,10170,9792,16,129,0,168,2767,84429,3273,643,3728,Kasson-Mantorville School District,"0204"
"2717010",20,41,28,1094,977,21,4,0,33,272,49583,357,575,401,Kelliher Public School District,"0036"
"2717100",163,195,129,5606,5424,42,44,0,63,1223,70927,1861,691,2294,Kenyon-Wanamingo School District,"2172"
"2717120",97,126,37,2778,2707,19,1,2,15,726,55556,897,669,1116,Kerkhoven-Murdock-Sunburg,"0775"
"2717220",184,200,113,4804,4697,10,8,0,85,1209,75912,1598,795,1763,Kimball Public School District,"0739"
"2717250",372,234,206,8492,8114,135,47,4,158,1774,68490,3010,800,3769,La Crescent-Hokah School District,"0300"
"2717520",196,282,161,9049,8502,105,95,0,162,1770,65138,3007,870,3939,Lake City Public School District,"0813"
"2717570",76,100,40,3361,3098,2,3,0,208,666,48953,1052,634,1300,Lake of the Woods School District,"0390"
"2717780",1883,2414,1666,57959,51623,1519,2670,0,1518,15802,111246,17150,1321,20350,Lakeville Public School District,"0194"
"2717880",28,8,10,738,735,0,0,0,3,177,62411,245,600,311,Lancaster Public School District,"0356"
"2717910",62,49,34,1561,1553,5,0,0,3,347,60882,548,555,650,Lanesboro Public School District,"0229"
"2717940",79,50,40,1642,1488,1,5,0,26,344,58015,607,731,685,Laporte Public School District,"0306"
"2718060",91,71,43,2077,1978,6,11,0,50,514,55179,688,589,854,LeRoy-Ostrander Public Schools,"0499"
"2718070",195,283,124,7358,6862,86,36,2,86,1733,67635,2217,672,2944,Le Sueur-Henderson School District,"2397"
"2718090",137,235,101,4337,4089,30,22,0,124,1190,71357,1216,704,1518,Lewiston-Altura Public School District,"0857"
"2718210",320,434,276,11492,11139,75,17,8,99,2680,62549,3682,765,4701,Litchfield Public School District,"0465"
"2718240",535,622,329,17127,16338,171,100,0,254,3785,52722,5207,775,7129,Little Falls Public School District,"0482"
"2718270",47,18,13,1647,1629,0,1,0,11,237,52750,655,536,761,Littlefork-Big Falls School District,"0362"
"2718330",207,240,153,6810,6595,29,90,0,46,1707,61659,2109,661,2845,Luverne Public School District,"2184"
"2718360",31,55,24,1083,1006,20,1,0,46,237,53000,369,686,450,Lyle Public School District,"0497"
"2718540",109,102,46,2537,2489,39,9,0,0,674,56875,812,661,994,Mabel-Canton Public School District,"0238"
"2718570",106,85,57,3633,3156,100,20,0,105,938,55183,955,730,1338,Madelia Public School District,"0837"
"2718660",235,165,66,3851,1580,3,12,6,498,1231,41194,840,578,1367,Mahnomen Public School District,"0432"
"2718750",546,549,359,14388,13532,492,178,15,124,3625,112031,4546,1313,5527,Mahtomedi Public School District,"0832"
"2718780",1877,1888,1069,66450,59161,3060,1565,10,1987,13255,56844,15650,884,26192,Mankato Public School District,"0077"
"2718810",309,214,74,5118,4931,23,6,0,121,1324,77226,1659,770,1925,Maple Lake Public School District,"0881"
"2718920",29,31,30,965,930,0,23,0,8,225,56667,353,619,396,Grygla Public School District,"0447"
"2718940",565,591,297,15539,12707,867,846,0,320,3922,53890,3484,685,5931,Marshall Public School District,"0413"
"2718960",167,150,69,4495,4352,29,3,16,63,1034,57663,1506,590,1902,Martin County West School District,"2448"
"2719170",100,78,70,4127,3842,19,17,0,66,665,48681,1671,750,2004,McGregor Public School District,"0004"
"2719320",104,148,88,3189,2832,21,21,21,32,959,76445,954,752,1123,Medford Public School District,"0763"
"2720550",384,372,221,9210,8877,26,9,0,124,2475,66315,2845,830,3441,Melrose Public School District,"0740"
"2720580",192,166,94,3744,3599,7,47,1,80,1157,52466,1188,699,1399,Menahga Public School District,"0821"
"2720670",393,468,283,11754,11229,34,77,9,322,2971,61657,3598,789,4441,Milaca Public School District,"0912"
"2721240",12041,10410,5737,420280,267288,80664,24943,156,20358,81873,62582,83579,1027,176952,Minneapolis Public School District,"9991"
"2721270",85,114,85,2589,2469,13,17,1,18,617,68000,875,672,1032,Minneota Public School District,"0414"
"2721320",145,266,132,7148,6443,84,102,0,83,1582,52978,2085,610,3252,Montevideo Public School District,"0129"
"2721390",829,909,505,21633,19987,194,188,0,596,6017,77030,6170,1043,7780,Monticello Public School District,"0882"
"2721420",1672,1533,932,47035,41918,2218,772,54,1075,10999,62879,11165,884,17942,Moorhead Public School District,"0152"
"2721450",112,99,63,5773,4851,434,28,0,301,814,56646,1392,729,1758,Moose Lake Public School District,"0097"
"2721480",287,448,198,10763,10346,17,50,0,277,2353,56620,3562,787,4295,Mora Public School District,"0332"
"2722920",623,413,461,19696,18808,118,321,15,408,3689,109933,6161,1073,8262,Westonka Public School District,"0277"
"2722950",2453,2250,1299,79549,64470,4270,6104,80,2605,17397,83289,22506,1106,30277,Mounds View Public School District,"0621"
"2723010",106,140,74,2952,2381,38,307,0,92,812,49194,865,599,1230,Mountain Lake Public Schools,"0173"
"2723310",78,99,101,4070,3801,30,18,0,144,723,54240,1547,756,1865,Nashwauk-Keewatin School District,"0319"
"2723370",86,60,37,2602,2568,20,0,0,3,515,58015,1011,780,1101,Nevis Public School District,"0308"
"2723400",272,315,172,9294,9129,16,34,0,95,1941,73772,3349,779,3835,New London-Spicer School District,"0345"
"2723430",1065,1115,490,20541,19496,137,335,0,365,5917,99579,6010,1004,6903,New Prague Area Schools,"0721"
"2723490",546,592,307,19103,18161,163,167,0,216,3965,67412,6437,649,8075,New Ulm Public School District,"0088"
"2723520",123,121,90,3645,3591,10,1,0,8,1012,58207,1110,611,1391,New York Mills Public School District,"0553"
"2723550",68,60,28,2109,2032,0,11,8,42,455,62583,737,547,861,Marshall County Central Schools,"0441"
"2723580",73,78,37,2466,2447,0,3,0,16,571,79258,802,753,949,Nicollet Public School District,"0507"
"2723820",627,758,440,20816,19826,145,321,11,387,4814,82279,6769,878,7598,North Branch Public Schools,"0138"
"2723850",2768,2333,1465,80380,58049,7826,9117,0,3542,17132,71746,22830,1094,31255,North St. Paul-Maplewood-Oakdale School District,"0622"
"2723880",905,813,463,28905,25938,443,846,4,695,5705,78384,7055,832,9360,Northfield Public School District,"0659"
"2723910",304,263,181,8578,7900,331,58,0,193,2092,80871,2569,910,3223,Central Public School District,"0108"
"2723970",106,113,94,3558,3372,21,42,2,104,791,61635,1224,877,1411,Ogilvie Public School District,"0333"
"2725050",176,163,156,5355,3878,58,21,0,327,1098,48147,1645,768,2198,Onamia Public School District,"0480"
"2725080",469,503,324,12278,11312,281,279,0,334,3060,118237,3984,1032,4781,Orono Public School District,"0278"
"2725140",102,168,102,3992,3926,1,2,0,48,869,55392,1387,695,1703,Osakis Public School District,"0213"
"2725200",4603,5067,3258,146643,95371,25406,18162,82,5161,37947,88580,42488,1247,54618,Osseo Public School District,"0279"
"2728050",976,1203,660,29481,26436,1104,514,5,332,7210,64293,8824,773,12003,Owatonna Public School District,"0761"
"2728080",338,380,203,12305,11529,104,23,0,241,2580,53882,3866,694,5175,Park Rapids Public School District,"0309"
