District Nbr,District Name,
0696,Ely Public School District,
0698,Floodwood Public School District,
0700,Hermantown Public School District,
0701,Hibbing Public School District,
0704,Proctor Public School District,
0706,Virginia Public School District,
0707,Nett Lake Public School District,
0709,Duluth Public School District,
0712,Mountain Iron-Buhl School District,
0716,Belle Plaine Public School District,
0717,Jordan Public School District,
0719,Prior Lake-Savage Area Schools,
0720,Shakopee Public School District,
0721,New Prague Area Schools,
0726,Becker Public School District,
0727,Big Lake Public School District,
0728,Elk River Public School District,
0738,Holdingford Public School District,
0739,Kimball Public School District,
0740,Melrose Public School District,
0741,Paynesville Public School District,
0742,St. Cloud Public School District,
0743,Sauk Centre Public School District,
0745,Albany Public School District,
0748,Sartell-St. Stephen School District,
0750,ROCORI Public School District,
0756,Blooming Prairie Public School District,
0761,Owatonna Public School District,
0763,Medford Public School District,
0768,Hancock Public School District,
0769,Morris Public School District,
0771,Chokio-Alberta Public School District,
0775,Kerkhoven-Murdock-Sunburg,
0777,Benson Public School District,
0786,Bertha-Hewitt Public School District,
0787,Browerville Public School District,
0801,Browns Valley Public School District,
0803,Wheaton Area Public School District,
0806,Elgin-Millville,
0810,Plainview,
0811,Wabasha-Kellogg Public School District,
0813,Lake City Public School District,
0815,Prinsburg Public School District,
0818,Verndale Public School District,
0820,Sebeka Public School District,
0821,Menahga Public School District,
0829,Waseca Public School District,
0831,Forest Lake Public School District,
0832,Mahtomedi Public School District,
0833,South Washington County School District,
0834,Stillwater Area Public School District,
0836,Butterfield Public School District,
0837,Madelia Public School District,
0840,St. James Public School District,
0846,Breckenridge Public School District,
0850,Rothsay Public School District,
0852,Campbell-Tintah Public School District,
0857,Lewiston-Altura Public School District,
0858,St. Charles Public School District,
0861,Winona Area Public School District,
0870,Southern Minnesota Sp Ser Coop,
0876,Annandale Public School District,
0877,Buffalo-Hanover-Montrose Public Schools,
0879,Delano Public School District,
0881,Maple Lake Public School District,
0882,Monticello Public School District,
0883,Rockford Public School District,
0885,St. Michael-Albertville School District,
0891,Canby Public School District,
0901,Northern Lakes Special Ed. Coop,
0911,Cambridge-Isanti Public School District,
0912,Milaca Public School District,
0914,Ulen-Hitterdal Public School District,
0915,Southern Plains Ed. Coop.,
0916,Northeast Metro 916,
0917,Intermediate School District 917,
0919,North Country Voc Coop Ctr,
0930,Carver-Scott Educational Coop.,
0931,N Carlton Co Voc,
0935,Fergus Falls Area Sp Ed Coop,
0937,Crow River Sp Ed Coop,
0938,Meeker & Wright Sp Ed Coop,
0957,Oak Land Voc Cntr,
0963,East Range Sec. Tech. Center,
0964,Cottonwood River Coop Cntr,
0966,Wright Tech Cntr,
0978,Minnesota Valley Coop,
0985,Pine to Prairie Coop Ctr,
0993,Minnesota River Valley Sp Ed Coop,
0997,Area Special Education Coop,
0998,Bemidji Regional Interdist. Council,
1000,Perpich Center for Arts Education,
1094,Fond du Lac Ojibwe,
1115,Bug-O-Nay-Ge-Shig,
1435,Circle of Life,
1480,Nay-Ah-Shing,
2071,Lake Crystal-Wellcome Memorial,
2125,Triton School District,
2134,United South Central School District,
2135,Maple River School District,
2137,Kingsland Public School District,
2142,St. Louis County School District,
2143,Waterville-Elysian-Morristown Public School District,
2144,Chisago Lakes School District,
2149,Minnewaska School District,
2154,Eveleth-Gilbert School District,
2155,Wadena-Deer Creek School District,
2159,Buffalo Lake-Hector-Stewart Public Schools,
2164,Dilworth-Glyndon-Felton,
2165,Hinckley-Finlayson School District,
2167,Lakeview School District,
2168,NRHEG School District,
2169,Murray County Central School District,
2170,Staples-Motley School District,
2171,Kittson Central School District,
2172,Kenyon-Wanamingo School District,
2174,Pine River-Backus Public School District,
2176,Warren-Alvarado-Oslo School District,
2180,M.A.C.C.R.A.Y. School District,
2184,Luverne Public School District,
2190,Yellow Medicine East,
2198,Fillmore Central,
2215,Norman County East School District,
2310,Sibley East School District,
2311,Clearbrook-Gonvick School District,
2342,West Central Area,
2358,Tri-County School District,
2364,Belgrade-Brooten-Elrosa Public School District,
2365,G.F.W. Schools,
2396,A.C.G.C. Public School District,
2397,Le Sueur-Henderson School District,
2448,Martin County West School District,
2527,Norman County West School District,
2534,Bird Island-Olivia-Lake Lillian,
2536,Granada-Huntley-East Chain,
2580,East Central School District,
2609,Win-E-Mac School District,
2683,Greenbush-Middle River School District,
2687,Howard Lake-Waverly-Winsted,
2689,Pipestone Area School District,
2711,Mesabi East School District,
2752,Fairmont Area School District,
2753,Long Prairie-Grey Eagle School District,
2754,Cedar Mountain School District,
2758,Redwood Falls,
2759,Eagle Valley Public School District,
2769,Morris Area Public Schools,
2805,Zumbrota-Mazeppa School District,
2835,Janesville-Waldorf-Pemberton,
2853,Lac Qui Parle Valley School District,
2854,Ada-Borup Public School District,
2856,Stephen-Argyle Central Schools,
2859,Glencoe-Silver Lake School District,
2860,Blue Earth Area Public Schools,
2862,Jackson County Central,
2884,Red Rock Central School District,
2886,Glenville-Emmons School District,
2887,McLeod West Public School District,
2888,Clinton-Graceville-Beardsley,
2889,Lake Park Audubon School District,
2890,Renville County West School District,
2895,Jackson County Central School District,
2897,Redwood Area School District,
2898,Westbrook-Walnut Grove Schools,
2899,Plainview-Elgin-Millville,
2902,RTR Public Schools,
2903,Ortonville Public Schools,
2904,Tracy Area Public School District,
2905,Tri-City United School District,
2906,Red Lake County Central Public Schools,
2907,Round Lake-Brewster Public Schools,
2908,Brandon-Evansville Public Schools,
4000,City Academy,
4001,Bluffview Montessori,
4002,Toivola-Meadowlands Charter School,
4003,"New Heights School, Inc.",
4004,Cedar Riverside Community School,
4005,Metro Deaf School,
4006,Skills for Tomorrow Charter School,
4007,Minnesota New Country School,
4008,PACT Charter School,
4009,Dakota Open Charter School,
4010,Frederick Douglass Math/Sci Tech,
4011,Athlos Leadership Academy,
4012,Emily Charter School,
4014,Right Step Incorp.,
4015,Community of Peace Academy,
4016,World Learner Charter School,
4017,Minnesota Transitions Charter School,
4018,Achieve Language Academy,
4019,New Voyage Academy Charter School,
4020,Duluth Public Schools Academy,
4021,Village School of Northfield,
4022,Central Minnesota Deaf School,
4023,Success Academy,
4024,Summit School for the Arts,
4025,Cyber Village Academy,
4026,E.C.H.O. Charter School,
4027,Higher Ground Academy,
4028,Eci' Nompa Woonspe,
4029,St. Paul City School,
4030,Odyssey Academy,
4031,Jennings Community Learning Center,
4032,Harvest Preparatory School,
4033,Peaks Charter School - Pillager,
4034,Learning Adventures Charter School,
4035,LIFE Prep,
4036,Face to Face Academy,
4037,Skills for Tomorrow Junior High,
4038,Sojourner Truth Academy,
4039,High School for Recording Arts,
4040,Martin Hughes Charter School,
4042,Twin Cities Academy,
4043,Math And Science Academy,
4044,Heart of the Earth Charter,
4045,Lakes Area Charter School,
4046,Lake Superior High School,
4048,Great River Education Center,
4049,Northwest Passage High School,
4050,Lafayette Public Charter School,
4051,Hanska Charter School,
4052,Four Directions Charter Schools,
4053,North Lakes Academy,
4054,La Crescent Montessori Academy,
4055,Nerstrand Charter School,
4056,Rochester Off-Campus Charter High,
4057,El Colegio Charter School,
4058,Schoolcraft Learning Community Charter,
4059,Crosslake Community Charter School,
4060,Mexica Multicultural Ed. Charter,
4061,Studio Academy Charter School,
4062,Family Academy Charter School,
4064,Riverway Learning Community Charter,
4065,Minnesota Business Academy Charter,
4066,Kato Public Charter School,
4067,Aurora Charter School,
4068,Excell Academy Charter,
4069,William E. McGee Institute of Tech.,
4070,HOPE Community Academy,
4071,Native Arts Charter School,
4072,Yankton Country Charter School,
4073,Academia Cesar Chavez Charter School,
4074,AFSA High School,
4075,Avalon School,
4077,Twin Cities International Elem. School,
4078,MN International Middle Charter,
4079,Friendship Academy of Fine Arts Charter,
4080,Pillager Area Charter School,
4081,Discovery Public School Faribault,
4082,BlueSky Charter School,
4083,Ridgeway Community School,
4084,North Shore Community School,
4085,Harbor City International Charter,
4086,Woodson Institute for Excellence Charter,
4087,SAGE Academy Charter School,
4088,Urban Academy Charter School,
4089,New City School,
4090,Prairie Creek Community School,
4091,Arcadia Charter School,
4092,Watershed High School,
4093,New Century Academy,
4095,TRIO Wolf Creek Distance Learning,
4096,Chiron Charter School,
4097,"Partnership Academy, Inc.",
4098,Nova Classical Academy,
4099,Tarek ibn Ziyad Academy,
4100,Great Expectations,
4101,Minnesota North Star Academy,
4102,Minnesota Internship Center,
4103,Hmong College Prep Academy,
4104,Paladin Academy,
4105,Great River School,
4106,TrekNorth High School,
4107,Voyageurs Expeditionary,
4108,General John Vessey Jr. Leadership,
4109,Sobriety High,
4110,Main Street School Performing Arts,
4111,Augsburg Fairview Academy,
4112,St. Paul Conservatory Performing Art,
4113,Fraser Academy,
4114,Prestige Academy Charter School,
4115,Minneapolis Academy Charter School,
4116,Lakes International Language Academy,
4118,Kaleidoscope Charter School,
4119,Academic Arts High School,
4120,St. Croix Preparatory Academy,
4121,Ubah Medical Academy Charter School,
4122,Eagle Ridge Academy Charter School,
4123,Dakota Area Community Charter School,
4124,Beacon Academy,
4125,Worthington Area Language Academy,
4126,Prairie Seeds Academy,
4127,TEAM Academy,
4128,Colonel Charles D. Young Military,
4131,Metro Schools Charter,
4132,Twin Cities Academy High School,
4133,Beacon Preparatory School,
4135,Rochester Math And Science Academy,
4136,Soul Academy Charter School,
4137,Swan River Montessori Charter School,
4138,Milroy Area Charter School,
4139,LoveWorks Academy For Arts,
4140,Yinghua Academy,
4141,Paideia Academy Charter School,
4142,STRIDE Academy Charter School,
4143,New Millennium Academy Charter School,
4144,Green Isle Community School,
4145,Birch Grove Community School,
4146,Northern Lights Community School,
4148,Academy of Biosciences,
4149,Cygnus Academy,
4150,Minnesota Online High School,
4151,EdVisions Off Campus School,
4152,Twin Cities German Immersion Charter,
4153,Dugsi Academy,
4154,Recovery School of Southern MN.,
4155,Naytahwaush Community School,
4157,New Salem Academy,
4158,Dakota Academy,
4159,Seven Hills Classical Academy,
4160,Spectrum High School,
4161,New Discoveries Montessori Academy,
4162,Southside Family Charter School,
4163,Learning For Leadership Charter,
4164,Laura Jeffrey Academy Charter,
4165,Elom International Academy,
4166,East Range Academy of Tech-Science,
4167,International Spanish Language Academy,
4168,Glacial Hills Elementary,
4169,Stonebridge World School,
4170,Hiawatha Academies,
4171,Noble Academy,
4172,Clarkfield Charter School,
4173,Metro Tech Academy,
4174,Pine Grove Leadership Academy,
4175,Long Tieng Academy,
4176,Waynewood School of Hope,
4177,Minisinaakwaang Leadership Academy,
4178,Lincoln International School,
4180,Emily O. Goodridge-Grey Accelerated,
4181,Community School of Excellence,
4182,Quest Academy,
4183,Lionsgate Academy,
4184,Aspen Academy,
4185,DaVinci Academy,
4186,Global Academy,
4187,Natural Science Academy,
4188,Cologne Academy,
4189,Bright Water Elementary,
4190,River's Edge Academy,
4191,KIPP Minnesota Charter School,
4192,Best Academy,
4193,College Preparatory Elementary,
4194,Cannon River STEM School,
4195,Oshki Ogimaag Charter School,
4196,Richard Allen Math & Science Academy,
4197,Academy of North Minneapolis,
4198,Discovery Woods Montessori School,
4199,Parnassus Preparatory Charter School,
4200,STEP Academy Charter School,
4201,Cornerstone Montessori Elementary,
4202,Minnesota School of Science,
4203,Minneapolis College Preparatory,
4204,Rochester STEM Academy,
4205,Hennepin Elementary School,
4207,Vermilion Country School,
4208,Nasha Shkola Charter School,
4209,Mastery School,
4210,Upper Mississippi Academy,
4211,ARC4H Academy,
4212,West Side Summit Charter School,
4213,Prodeo Academy,
4214,West Concord Public Charter School,
4215,Sejong Academy of Minnesota,
4217,Technical Academies of Minnesota,
4218,Venture Academy,
4219,Northeast College Prep,
4223,St Cloud Math & Science Academy Chtr Sch,
4224,Star of the North Academy Charter School,
4225,Universal Academy Charter School,
4226,Bdote Learning Center,
4227,Art and Science Academy,
4228,Woodbury Leadership Academy,
4230,Minnesota Early Learning Academy,
4231,Minnesota Math and Science Academy,
6065,Metropolitan Learning Alliance,
6067,East Metro Integration District,
6069,West Metro Education Program,
6071,Quad County Vocational Project,
6072,Valley Crossing Community School,
6078,N.W. Suburban Integration District,
6088,Southwest Metro Educational Coop,
9991,Minneapolis Public School District,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
